assessment_centre,illness,illness_rate,pm2.5_air_pollution
Middlesborough,heart/cardiac problem,0.192678,9.838713
Middlesborough,hypertension,27.482494,9.838713
Middlesborough,irregular heart beat,0.371258,9.838713
Newcastle,angina,4.101441,10.407536
Newcastle,atrial fibrillation,0.638062,10.407536
Newcastle,heart arrhythmia,0.754319,10.407536
Newcastle,heart attack/myocardial infarction,2.833428,10.407536
Newcastle,heart failure/pulmonary odema,0.032444,10.407536
Newcastle,heart valve problem/heart murmur,0.613729,10.407536
Newcastle,heart/cardiac problem,0.332549,10.407536
Newcastle,hypertension,28.231541,10.407536
Newcastle,irregular heart beat,0.0,10.407536
Nottingham,angina,3.130168,9.649127
Nottingham,atrial fibrillation,0.806166,9.649127
Nottingham,heart arrhythmia,0.502008,9.649127
Nottingham,heart attack/myocardial infarction,2.359438,9.649127
Nottingham,heart failure/pulmonary odema,0.085637,9.649127
Nottingham,heart valve problem/heart murmur,0.699858,9.649127
Nottingham,heart/cardiac problem,0.377983,9.649127
Nottingham,hypertension,27.137964,9.649127
Nottingham,irregular heart beat,0.026577,9.649127
Oxford,angina,2.270463,9.298244
Oxford,atrial fibrillation,0.875445,9.298244
Oxford,heart arrhythmia,0.619217,9.298244
Oxford,heart attack/myocardial infarction,1.594306,9.298244
Oxford,heart failure/pulmonary odema,0.078292,9.298244
Oxford,heart valve problem/heart murmur,0.967972,9.298244
Oxford,heart/cardiac problem,0.270463,9.298244
Oxford,hypertension,23.758007,9.298244
Oxford,irregular heart beat,0.0,9.298244
Reading,angina,1.932499,9.517266
Reading,atrial fibrillation,0.745101,9.517266
Reading,heart arrhythmia,0.510343,9.517266
Reading,heart attack/myocardial infarction,1.595672,9.517266
Reading,heart failure/pulmonary odema,0.010207,9.517266
Reading,heart valve problem/heart murmur,0.629423,9.517266
Reading,heart/cardiac problem,0.207539,9.517266
Reading,hypertension,24.186854,9.517266
Reading,irregular heart beat,0.0,9.517266
Sheffield,angina,3.640913,9.747812
Sheffield,atrial fibrillation,0.743984,9.747812
Sheffield,heart arrhythmia,0.233729,9.747812
Sheffield,heart attack/myocardial infarction,2.676367,9.747812
Sheffield,heart failure/pulmonary odema,0.105343,9.747812
Sheffield,heart valve problem/heart murmur,0.480627,9.747812
Sheffield,heart/cardiac problem,0.273233,9.747812
Sheffield,hypertension,27.339764,9.747812
Sheffield,irregular heart beat,0.664977,9.747812
Stockport (pilot),angina,3.53562,10.344001
Stockport (pilot),atrial fibrillation,0.263852,10.344001
Stockport (pilot),heart arrhythmia,0.131926,10.344001
Stockport (pilot),heart attack/myocardial infarction,2.638522,10.344001
Stockport (pilot),heart failure/pulmonary odema,0.105541,10.344001
Stockport (pilot),heart valve problem/heart murmur,0.712401,10.344001
Stockport (pilot),heart/cardiac problem,0.290237,10.344001
Stockport (pilot),hypertension,27.044855,10.344001
Stockport (pilot),irregular heart beat,0.0,10.344001
Stoke,angina,4.207003,9.52757
Stoke,atrial fibrillation,0.777549,9.52757
Stoke,heart arrhythmia,0.715757,9.52757
Stoke,heart attack/myocardial infarction,2.84243,9.52757
Stoke,heart failure/pulmonary odema,0.066941,9.52757
Stoke,heart valve problem/heart murmur,0.916581,9.52757
Stoke,heart/cardiac problem,0.566426,9.52757
Stoke,hypertension,29.052523,9.52757
Stoke,irregular heart beat,0.0,9.52757
Swansea,angina,3.334796,9.940067
Swansea,atrial fibrillation,1.228609,9.940067
Swansea,heart arrhythmia,0.307152,9.940067
Swansea,heart attack/myocardial infarction,2.544976,9.940067
Swansea,heart failure/pulmonary odema,0.043879,9.940067
Swansea,heart valve problem/heart murmur,0.658183,9.940067
Swansea,heart/cardiac problem,0.351031,9.940067
Swansea,hypertension,28.345766,9.940067
Swansea,irregular heart beat,0.658183,9.940067
Wrexham,angina,3.85208,9.57255
Wrexham,atrial fibrillation,0.154083,9.57255
Wrexham,heart arrhythmia,0.154083,9.57255
Wrexham,heart attack/myocardial infarction,1.386749,9.57255
Wrexham,heart failure/pulmonary odema,0.0,9.57255
Wrexham,heart valve problem/heart murmur,0.154083,9.57255
Wrexham,heart/cardiac problem,0.0,9.57255
Wrexham,hypertension,32.049307,9.57255
Wrexham,irregular heart beat,0.154083,9.57255
